mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__n_estimators,param_randomforestclassifier__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
738.6740020751953,9.00432940944703,4.8178832054138185,0.6902082541098036,600,8,"{'randomforestclassifier__n_estimators': 600, 'randomforestclassifier__min_samples_split': 8}",0.8333959570151048,0.8303645246148066,0.8305033809166041,0.8238167938931299,0.8279448338231971,0.8292050980525685,0.0032004748033565094,8,0.9443066598584872,0.9437385907265426,0.9431499106589359,0.94308854109664,0.9430479039731475,0.9434663212627508,0.0004895316473426036
1256.3483367443084,13.328214119990605,9.296818828582763,0.2098380548220468,1000,6,"{'randomforestclassifier__n_estimators': 1000, 'randomforestclassifier__min_samples_split': 6}",0.8351318944844125,0.8311317922545781,0.8341821449970042,0.8264940997335364,0.8302879915783141,0.831445584609569,0.003067028953012615,4,0.9626488632262721,0.9622174439405164,0.9623121470710279,0.9611440127112523,0.9621701620763096,0.9620985258050757,0.0005057418011217683
764.5066939353943,7.614449517282284,4.71849102973938,0.16353877119112892,500,4,"{'randomforestclassifier__n_estimators': 500, 'randomforestclassifier__min_samples_split': 4}",0.8366022820493697,0.8344688178483192,0.8347994632473534,0.8311235699674216,0.8330212000898943,0.8340030666404716,0.0018364452345858806,3,0.9830671438491533,0.9835551517095159,0.983556963376873,0.9830930770599751,0.9828626341359243,0.9832269940262883,0.0002802895645896578
1050.3119571208954,13.666675017031496,6.507087707519531,0.6889541539794952,700,4,"{'randomforestclassifier__n_estimators': 700, 'randomforestclassifier__min_samples_split': 4}",0.8366159355416293,0.8347682862918321,0.8355919583023083,0.8318570671511848,0.8330709841840943,0.8343808462942098,0.0017145101867374385,1,0.9830828406581665,0.9836667082272055,0.983768198483608,0.9834496013667425,0.9828571428571428,0.983364898318573,0.00034591530259339215
980.7133096218109,4.997646769169528,7.411364459991455,0.24388982943301046,800,7,"{'randomforestclassifier__n_estimators': 800, 'randomforestclassifier__min_samples_split': 7}",0.8345830833833234,0.8306306306306305,0.8314724615961034,0.8247674241268874,0.8284853051996987,0.8299877809873287,0.0032632467123210524,7,0.953310357337203,0.9525210694565532,0.952842166358327,0.9518192541511659,0.9521406006027816,0.9525266895812061,0.0005221536021957622
1334.0636428833009,7.7778983929504255,8.273442268371582,0.48489213028704886,900,4,"{'randomforestclassifier__n_estimators': 900, 'randomforestclassifier__min_samples_split': 4}",0.8365155131264917,0.8348788513311397,0.8352827236832303,0.8318075206173867,0.8330585943353814,0.8343086406187259,0.0016710763782808202,2,0.9833923708147173,0.9839330245814036,0.9837828215398309,0.9834326897410801,0.9831678587950606,0.9835417530944186,0.0002775659199266178
675.1796237945557,24.453620105685236,4.9701149463653564,0.7150212071703372,500,6,"{'randomforestclassifier__n_estimators': 500, 'randomforestclassifier__min_samples_split': 6}",0.8346574726427821,0.831357839459865,0.8323102260817489,0.8266727563370633,0.8312664411875236,0.8312529471417965,0.0025960726083509617,5,0.9619375913660236,0.9614974614703597,0.9618014831922919,0.960540335542593,0.9617813706737883,0.9615116484490113,0.0005063263094175918
1146.9050163269044,6.404730984688131,8.188947248458863,1.006927194268676,1000,9,"{'randomforestclassifier__n_estimators': 1000, 'randomforestclassifier__min_samples_split': 9}",0.8309244203553147,0.828012048192771,0.8297968397291196,0.82191990217059,0.8255383452965621,0.8272383111488715,0.003222033412308353,10,0.9360423575105802,0.9365998460805511,0.9363984113329795,0.935064935064935,0.934967392100828,0.9358145884179748,0.0006766209133298425
796.8429917812348,34.556365414587695,5.4153162956237795,0.47478047973928883,600,6,"{'randomforestclassifier__n_estimators': 600, 'randomforestclassifier__min_samples_split': 6}",0.8344698388909704,0.831708414579271,0.8326225215114105,0.8271294816168075,0.8295728038507822,0.8311006120898483,0.002535405160531879,6,0.9623240707325875,0.9617573206640533,0.9619819202107504,0.9614815349626368,0.9622999043511216,0.9619689501842299,0.00032192239378072866
824.3967564105988,68.02176328080975,3.814050579071045,1.6552048394739693,900,8,"{'randomforestclassifier__n_estimators': 900, 'randomforestclassifier__min_samples_split': 8}",0.833608898241395,0.8302397234538212,0.829638536108815,0.8238436879865669,0.8267490952955369,0.828815988217227,0.0033067025717835727,9,0.9446754194018965,0.9439190916061192,0.9435235333807466,0.9430238920299107,0.9435263215497428,0.9437336515936832,0.0005499470250294471
